CycID,BH.Q,PER,F_ZT0,F_ZT0.1,F_ZT0.2,F_ZT4,F_ZT4.1,F_ZT4.2,F_ZT8,F_ZT8.1,F_ZT8.2,F_ZT12,F_ZT12.1,F_ZT12.2,F_ZT16,F_ZT16.1,F_ZT16.2,F_ZT20,F_ZT20.1,F_ZT20.2,gene_product,transcript_product,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP009991-RA,0.002571701,24,7449,4000,6121,4931,3975,6001,3690,4216,3030,1441,1875,85,2881,2117,2324,4388,4157,4121,Cyclophilin B precursor ,Cyclophilin B precursor ,GO:0000413, GO:0006457, GO:0043231, GO:0016018, GO:0003755, GO:0005737, GO:0003755, GO:0016018, GO:0051082, GO:0042026, GO:0000413, GO:0006457, GO:0003755, GO:0003755, GO:0003755, GO:0016853, GO:0000413, GO:0006457,,,,,,,,,,,,,,,,,,,
AGAP007112-RA,0.005153499,20,347,284,431,208,246,214,117,254,251,216,252,69,234,306,312,292,331,299,Pescadillo homolog [Source:UniProtKB/Swiss-Prot;Acc:Q7QIX1] ,Pescadillo homolog [Source:UniProtKB/Swiss-Prot;Acc:Q7QIX1] ,GO:0000463, GO:0003723, GO:0070545, GO:0000463, GO:0070545, GO:0043021, GO:0000466, GO:0030687, GO:0005654, GO:0005730, GO:0042254, GO:0043021, GO:0000463, GO:0000466, GO:0006364, GO:0042254, GO:0042254, GO:0042273, GO:0005634, GO:0005654, GO:0005730, GO:0005730, GO:0030687,,,,,,,,,,,,,,
AGAP007254-RA,0.030003949,20,160,94,153,82,62,114,43,75,83,95,82,0,76,95,121,105,110,101,ribosome biogenesis protein UTP30 ,ribosome biogenesis protein UTP30 ,GO:0000470, GO:0030686, GO:0003723, GO:0003723, GO:0000470, GO:0030686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP008917-RA,0.030003949,20,416,497,389,238,295,315,183,362,346,248,119,1015,456,400,473,403,558,343,DNA topoisomerase II ,DNA topoisomerase II ,GO:0000712, GO:0000819, GO:0044774, GO:0005634, GO:0006265, GO:0005524, GO:0003918, GO:0003677, GO:0046872, GO:0006259, GO:0000166, GO:0003677, GO:0003677, GO:0003916, GO:0003918, GO:0003918, GO:0005524, GO:0005524, GO:0016853, GO:0006265,,,,,,,,,,,,,,,,,
AGAP007853-RA,0.012864973,24,216,190,269,180,210,272,111,216,185,167,149,27,182,159,180,181,175,185,zinc finger HIT domain-containing protein 1 ,zinc finger HIT domain-containing protein 1 ,GO:0000812, GO:0031491, GO:0043486, GO:0031491, GO:0042826, GO:0031063, GO:0043486, GO:0000812, GO:0043486, GO:0046872, GO:0006338, GO:0043486, GO:0006338,,,,,,,,,,,,,,,,,,,,,,,,
AGAP004892-RA,2.98E-04,24,148.756,185.724,225.175,71.1888,106.295,108.292,119,205.184,195.542,258.08,351.925,1088.07,379.228,445.926,594.898,289.83,372.316,318.798,unspecified product ,unspecified product ,GO:0000902, GO:0000902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP004892-RB,2.98E-04,24,148.756,185.724,225.175,71.1888,106.295,108.292,119,205.184,195.542,258.08,351.925,1088.07,379.228,445.926,594.898,289.83,372.316,318.798,unspecified product ,unspecified product ,GO:0000902, GO:0000902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP028740-RA,0.012864973,24,745,549,969,653,796,803,432,793,731,461,559,9,543,530,738,589,623,684,unspecified product ,unspecified product ,GO:0000902, GO:0015631, GO:0007023, GO:0005737, GO:0000166, GO:0005525, GO:0015631, GO:0000902, GO:0007023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP003525-RB,0.007036104,24,261.417,205.899,317.769,129.567,187.114,168.444,139.491,277.545,315.061,402.735,301.717,27.2681,338.099,425.447,465.66,304.072,187.828,279.152,"CCR4-NOT transcription complex, subunit 2 ","CCR4-NOT transcription complex, subunit 2 ",GO:0000932, GO:0030015, GO:0000289, GO:2000036, GO:0000288, GO:0017148, GO:0000932, GO:0030015, GO:0030015, GO:0006355, GO:0006355, GO:0005634, GO:0030015, GO:0030015, GO:0006355, GO:2000036, GO:0006355, GO:0005634, GO:0030015,,,,,,,,,,,,,,,,,,
AGAP011695-RA,0.039930755,24,161,152,198,130,158,199,152,181,203,225,165,147,149,138,149,126,130,141,homeobox protein SIX1 ,homeobox protein SIX1 ,GO:0000976, GO:0000981, GO:0045892, GO:0048856, GO:0005634, GO:0005667, GO:0003677, GO:0005634, GO:0000981, GO:0006355, GO:0003677, GO:0003677, GO:0043565, GO:0006355, GO:0005634, GO:0006357,,,,,,,,,,,,,,,,,,,,,
AGAP001856-RA,9.55E-06,24,309.738,440.705,562.524,43.7383,78.051,110.043,30.0782,31,14.0015,192.466,182.295,2619.26,703.256,1051.47,1036.93,775.488,1277.79,979.951,period circadian protein ,period circadian protein ,GO:0000976, GO:0001222, GO:0008134, GO:0000122, GO:0009416, GO:0032922, GO:0043153, GO:0005634, GO:0005737, GO:0006357, GO:0005634, GO:0006355, GO:0006355,,,,,,,,,,,,,,,,,,,,,,,,
AGAP007954-RA,0.022880709,24,1051,890,1071,675,749,874,719,1364,1205,1111,726,599,1070,1288,1480,1140,1161,1182,RING finger protein 10 ,RING finger protein 10 ,GO:0000976, GO:0045944, GO:0045944, GO:0005737, GO:0046872, GO:0046872, GO:0046872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP000858-RA,0.00946299,20,2124,1800,1916,1043,841,1095,880,1268,984,1244,1086,525,1601,2164,1828,1509,1610,1838,Homeobox domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4GA45] ,Homeobox domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4GA45] ,GO:0000977, GO:0000981, GO:0003677, GO:0005634, GO:0000981, GO:0006355, GO:0003677, GO:0003677, GO:0043565, GO:0006355, GO:0006357, GO:0005634, GO:0005634,,,,,,,,,,,,,,,,,,,,,,,,
AGAP009515-RB,0.007036104,12,190.639,138.016,231.571,209.137,203.117,291.145,126.414,190.121,158.808,208.196,147.478,3245.71,196.364,304.592,344.573,126.21,160.548,157.605,TOLL pathway signalling NF-kappaB Relish-like transcription factor ,TOLL pathway signalling NF-kappaB Relish-like transcription factor ,GO:0000977, GO:0000981, GO:0003682, GO:0000122, GO:0006954, GO:0007249, GO:0034097, GO:0038061, GO:0045087, GO:0045944, GO:0005654, GO:0005829, GO:0033256, GO:0048468, GO:0045944, GO:0009605, GO:0007399, GO:0000977, GO:0005737, GO:0003700, GO:0003677, GO:0006355, GO:0003677, GO:0003700, GO:0006355, GO:0005634, GO:0005737, GO:0003700, GO:0005737, GO:0005634, GO:0048468, GO:0045944, GO:0009605, GO:0007399, GO:0000977, GO:0003677, 
AGAP003844-RA,0.039930755,24,417,473,588,397,417,369,260,639,704,3307,3551,69733,2332,3377,3302,2897,4271,3078,Class b basic helix-loop-helix protein ,Class b basic helix-loop-helix protein ,GO:0000977, GO:0001227, GO:0000122, GO:0009952, GO:0030154, GO:0042752, GO:0050767, GO:0005634, GO:0046983, GO:0006355, GO:0003677, GO:0003677, GO:0046983, GO:0006355, GO:0005634,,,,,,,,,,,,,,,,,,,,,,
AGAP012342-RA,0.039930755,24,20,11,37,14,9,22,62,89,84,103,57,5,65,48,39,57,29,35,"hairy and enhancer of split, invertebrate ","hairy and enhancer of split, invertebrate ",GO:0000977, GO:0001227, GO:0000122, GO:0009952, GO:0030154, GO:0050767, GO:0005634, GO:0046983, GO:0006355, GO:0003677, GO:0003677, GO:0046983, GO:0006355, GO:0005634,,,,,,,,,,,,,,,,,,,,,,,
AGAP005156-RB,0.01700415,8,21.5526,39.2291,54.4983,4.08478,6.12783,12.873,21.5321,31.7173,60.8035,17.3673,7.18756,61.3089,38.9042,16.7949,69.1316,11.3155,16.3003,11.2897,unspecified product ,unspecified product ,GO:0000977, GO:0001228, GO:0005634, GO:0006357, GO:0003677, GO:0003677, GO:0005634, GO:0006357, GO:0003677, GO:0003677, GO:0005634, GO:0045944,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP006592-RA,0.039930755,24,285.188,328.508,371.855,229.841,291.516,306.146,165.403,403.84,370.28,51.2054,79.457,494.481,178.865,177.381,254.707,161.522,261.982,222.443,unspecified product ,unspecified product ,GO:0000977, GO:0003700, GO:0031490, GO:0042826, GO:0043565, GO:0045165, GO:0005634, GO:0005737, GO:0043229, GO:0001227, GO:0005515, GO:0003676, GO:0006355, GO:0043229, GO:0001227, GO:0005515, GO:0003676, GO:0043229, GO:0001227, GO:0005515, GO:0003676,,,,,,,,,,,,,,,,
AGAP006592-RC,0.030003949,20,22.2621,101.696,64.1172,56.6323,98.9761,85.982,196.589,345.202,282.187,248.118,73.3905,1016.33,63.401,146.214,116.513,58.6622,109.364,59.7535,unspecified product ,unspecified product ,GO:0000977, GO:0003700, GO:0031490, GO:0042826, GO:0043565, GO:0045165, GO:0005634, GO:0005737, GO:0043229, GO:0001227, GO:0005515, GO:0003676, GO:0006355, GO:0043229, GO:0001227, GO:0005515, GO:0003676, GO:0043229, GO:0001227, GO:0005515, GO:0003676,,,,,,,,,,,,,,,,
AGAP006598-RA,2.98E-04,24,229,186,180,144,147,233,324,607,506,1041,634,252,394,701,679,310,350,348,unspecified product ,unspecified product ,GO:0000977, GO:0005634, GO:0045944, GO:0001228, GO:0005737, GO:0006357, GO:0006357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP000807-RA,0.030003949,20,209,164,256,199,291,293,157,395,271,287,287,34,200,259,278,232,156,200,helix-loop-helix transcription factor ,helix-loop-helix transcription factor ,GO:0000978, GO:0005634, GO:0006357, GO:0000981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP013226-RA,0.012864973,20,340.077,392.068,348.122,294,310.771,292.128,280,446.285,662,815,1002.61,11549.3,625.003,807.565,1001.16,376.464,294.078,432.032,unspecified product ,unspecified product ,GO:0000978, GO:0006357, GO:0000981, GO:0000978, GO:0003700, GO:0006357, GO:0005634, GO:0006355, GO:0003677, GO:0003677, GO:0003700, GO:0006355, GO:0003700,,,,,,,,,,,,,,,,,,,,,,,,
AGAP006699-RA,8.73E-04,24,156,191,245,207,241,225,378,669,700,906,802,2842,446,568,776,406,116,263,"hairy and enhancer of split, invertebrate ","hairy and enhancer of split, invertebrate ",GO:0000978, GO:0009952, GO:0005634, GO:0050767, GO:0006357, GO:0000981, GO:0000977, GO:0001227, GO:0000122, GO:0009952, GO:0030154, GO:0050767, GO:0005634, GO:0046983, GO:0006355, GO:0003677, GO:0003677, GO:0046983, GO:0006355, GO:0005634,,,,,,,,,,,,,,,,,
AGAP000076-RA,0.003701424,24,831,760,775,450,672,698,550,1075,878,1129,621,3401,1084,1247,1985.69,878,1090,929,sterol regulatory element-binding transcription factor 1 ,sterol regulatory element-binding transcription factor 1 ,GO:0000981, GO:0005634, GO:0000978, GO:0006357, GO:0000978, GO:0003700, GO:0000122, GO:0033993, GO:1902895, GO:0005634, GO:0016021, GO:0046983, GO:0046983, GO:0016020, GO:0016021,,,,,,,,,,,,,,,,,,,,,,
AGAP005281-RA,0.005153499,24,324,317,396,217,275,254,175,308,282,383,341,325,362,403,485,453,453,395,unspecified product ,unspecified product ,GO:0000981, GO:0006357, GO:0005634, GO:0000978, GO:0030154, GO:0000978, GO:0003700, GO:0043565, GO:0030154, GO:0045944, GO:0005634, GO:0000981, GO:0006355, GO:0003677, GO:0003677, GO:0003677, GO:0043565, GO:0006355, GO:0005634,,,,,,,,,,,,,,,,,,
AGAP009889-RA,0.00946299,24,313,276,421,435,455,444,300,630,485,758,692,903,531,566,797,424,324,395,cabut ,cabut ,GO:0000981, GO:0006357, GO:0005634, GO:0003676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP002942-RB,0.007036104,24,264.158,265.852,383.776,260.533,333.321,329.056,287.92,593.501,624.071,438.3,296.974,1538.24,224.756,320.553,522.544,261.601,310.966,278.569,unspecified product ,unspecified product ,GO:0000981, GO:0006357, GO:0045944, GO:0005634, GO:0045944, GO:0046983, GO:0006355, GO:0005515, GO:0003677, GO:0046983, GO:0006355, GO:0005634, GO:0045944, GO:0046983, GO:0006355, GO:0005515, GO:0003677, GO:0046983, GO:0006355, GO:0005634,,,,,,,,,,,,,,,,,
AGAP002942-RC,0.005153499,20,22.9579,52.6251,111.848,67.8528,74.4496,88.4587,81.2582,132.063,233.906,175.396,88.2858,744.669,87.929,82.8296,124.113,40.4782,65.3561,47.9834,unspecified product ,unspecified product ,GO:0000981, GO:0006357, GO:0045944, GO:0005634, GO:0045944, GO:0046983, GO:0006355, GO:0005515, GO:0003677, GO:0046983, GO:0006355, GO:0005634, GO:0045944, GO:0046983, GO:0006355, GO:0005515, GO:0003677, GO:0046983, GO:0006355, GO:0005634,,,,,,,,,,,,,,,,,
AGAP009024-RA,0.005153499,24,406,291,462,237,277,308,187,288,306,240,325,2681,399,446,521,405,424,420,RNA polymerase I-specific transcription initiation factor RRN3 ,RNA polymerase I-specific transcription initiation factor RRN3 ,GO:0001042, GO:0001181, GO:0006361, GO:0006361, GO:0001181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP012084-RA,0.030003949,24,117,50,103,62,77,80,63,91,105,123,222,207,100,146,140,122,101,97,DNA-directed RNA polymerase I subunit RPA43 ,DNA-directed RNA polymerase I subunit RPA43 ,GO:0001054, GO:0003899, GO:0005736, GO:0006352, GO:0005730, GO:0003899, GO:0003899, GO:0006351, GO:0006360,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP012345-RA,0.001269188,24,319,429,353,267,244,284,275,428,432,646,396,1776,575,690,686,532,572,366,"POU domain transcription factor, class 6 ","POU domain transcription factor, class 6 ",GO:0001228, GO:0030154, GO:0045944, GO:0005634, GO:0003677, GO:0045944, GO:0005634, GO:0003700, GO:0006355, GO:0003677, GO:0003677, GO:0003700, GO:0006355, GO:0005634,,,,,,,,,,,,,,,,,,,,,,,
AGAP005743-RA,0.00946299,20,59,73,56,32,45,36,20,36,22,26,30,86,55,56,78,51,69,52,tRNA pseudouridine13 synthase ,tRNA pseudouridine13 synthase ,GO:0001522, GO:0009982, GO:0009982, GO:0001522, GO:0005634, GO:0005634, GO:0009451, GO:0001522, GO:0009982, GO:0003723, GO:0003723, GO:0009982, GO:0001522, GO:0009451,,,,,,,,,,,,,,,,,,,,,,,
AGAP003283-RA,0.030003949,20,151,163,158,89,141.799,156,99,194.785,255,183,168,141,151,164,247,92,99,119,atrial natriuretic peptide receptor A ,atrial natriuretic peptide receptor A ,GO:0001653, GO:0004383, GO:0007165, GO:0006182, GO:0007168, GO:0005886, GO:0001653, GO:0004383, GO:0006182, GO:0007165, GO:0007168, GO:0005886, GO:0016021, GO:0005524, GO:0035556, GO:0004672, GO:0016849, GO:0009190, GO:0006468, GO:0000166, GO:0004383, GO:0004672, GO:0005524, GO:0016829, GO:0016849, GO:0006182, GO:0006468, GO:0009190, GO:0035556, GO:0016020, GO:0016021, GO:0016021,,,,,
AGAP010886-RA,0.022880709,24,1724,1722,1232.02,1633,1386.42,1750.31,1075.5,1871,1327,839,684,1409.08,856.241,963.371,1292.18,976.01,1063.57,788.304,unspecified product ,unspecified product ,GO:0001784, GO:0048468, GO:0009653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP002026-RC,0.01700415,24,106.69,100.649,236.686,155.77,242.982,147.971,124.912,131.591,176.556,161.521,160.859,0.00179867,84.788,86.8445,74.3738,89.3721,72.1075,98.7573,"ditrans,polycis-polyprenyl diphosphate synthase ","ditrans,polycis-polyprenyl diphosphate synthase ",GO:0002094, GO:0005783, GO:1904423, GO:0045547, GO:0016094, GO:0002094, GO:0045547, GO:0016094, GO:0005783, GO:1904423, GO:0002094, GO:0005783, GO:1904423, GO:0045547, GO:0016094, GO:0002094, GO:0045547, GO:0016094, GO:0005783, GO:1904423, GO:0002094, GO:0005783, GO:1904423, GO:0045547, GO:0016094, GO:0002094, GO:0045547, GO:0016094, GO:0005783, GO:1904423, GO:0016765, GO:0016740, GO:0016765, GO:0016765, GO:0016740, GO:0016765, 
AGAP006974-RA,0.00173638,20,6,15,9,2,2,0,0,1,1,1,2,1,12,32,33,4,25,11,TOLL-like receptor 9 ,TOLL-like receptor 9 ,GO:0002224, GO:0038023, GO:0005887, GO:0002224, GO:0006954, GO:0005887, GO:0004888, GO:0002224, GO:0006955, GO:0003953, GO:0016021, GO:0005515, GO:0007165, GO:0007165, GO:0016020, GO:0016021,,,,,,,,,,,,,,,,,,,,,
AGAP007633-RD,1.24E-04,24,2184.79,1866.74,2170.17,2047.95,1613.77,1696.58,1651.61,3324.67,2956.2,3962.25,2679.08,1434.31,4076.49,6039.38,6151.41,2815.67,3039.53,3190.32,solute carrier family 36 (proton-coupled amino acid transporter) ,solute carrier family 36 (proton-coupled amino acid transporter) ,GO:0003333, GO:0015171, GO:0015171, GO:0003333, GO:0005774, GO:0003333, GO:0015171, GO:0015171, GO:0003333, GO:0005774, GO:0003333, GO:0015171, GO:0015171, GO:0003333, GO:0005774, GO:0003333, GO:0015171, GO:0015171, GO:0003333, GO:0005774, GO:0016021, GO:0016020, GO:0016021, GO:0016021, GO:0016020, GO:0016021, GO:0016021, GO:0016020, GO:0016021, GO:0016021, GO:0016020, GO:0016021, GO:0016021, GO:0016020, GO:0016021,,
AGAP009897-RA,0.002571701,24,1574,1188,1688,1151,1168,1690,1609.34,3295,2417,3653,2154,890.312,2331,2291,2512,1927,1551,1757,proton-coupled amino acid transporter ,proton-coupled amino acid transporter ,GO:0003333, GO:0015171, GO:0015171, GO:0003333, GO:0005774, GO:0016021, GO:0016020, GO:0016021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGAP003802-RA,0.00946299,20,1187,999,1362,594,651,771,478,908,854,531,415,348,833,967,1265,780,1002,816,unspecified product ,unspecified product ,GO:0003676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
